REGIONAL,DISTRITO,POLITÉCNICO,SIGERD,MATRÍCULA
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08562 - POLITECNICO ULISES FRANCISCO ESPAILLAT,08562,184
09 - MAO,0901 - MAO,08958 - POLITECNICO SALESIANO SAGRADO CORAZON DE JESUS,08958,184
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,07888 - POLITECNICO BIENVENIDO CARO AMANCIO,07888,185
03 - AZUA,0304 - BANI,07519 - POLITECNICO ESPIRITU SANTO - FE Y ALEGRIA,07519,186
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08822 - POLITECNICO MADRE TERESA DE CALCUTA - FE Y ALEGRIA,08822,186
15 - SANTO DOMINGO,1502 - SANTO DOMINGO CENTRO,05277 - POLITECNICO MARIA INMACULADA (FMA SALESIANAS),05277,186
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07056 - POLITECNICO ESCUELA HOGAR DEL NIÑO,07056,191
07 - SAN FRANCISCO DE MACORIS,0706 - SAN FRANCISCO DE MACORIS NOR-O,06610 - POLITECNICO MAX HENRIQUEZ UREÑA,06610,192
13 - MONTE CRISTI,1303 - VILLA VASQUEZ,07422 - POLITECNICO FRANCISCO GREGORIO BILLINI,07422,196
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,14582 - POLITECNICO SIMON ANTONIO LUCIANO CASTILLO,14582,198
10 - SANTO DOMINGO,1006 - MENDOZA,14901 - POLITECNICO FEDERICO HENRIQUEZ Y CARVAJAL,14901,199
06 - LA VEGA,0606 - MOCA,13370 - POLITECNICO JOSE ANTONIO CASTILLO FERREIRAS,13370,201
17 - MONTE PLATA,1701 - YAMASA,09168 - POLITECNICO GENERAL EUSEBIO MANZUETA,09168,202
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,07957 - POLITECNICO MEDINA,07957,203
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,10718 - POLITECNICO PASTOR ABAJO,10718,205
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,07964 - POLITECNICO TULIO MANUEL CESTERO,07964,206
11 - PUERTO PLATA,1101 - SOSUA,10966 - POLITECNICO PROF. JOSE MOREL,10966,208
06 - LA VEGA,0603 - JARABACOA,07246 - POLITECNICO SALESIANO SANTO DOMINGO SAVIO,07246,210
08 - SANTIAGO,0801 - SAN JOSE DE LAS MATAS,08692 - POLITECNICO CANADA,08692,211
06 - LA VEGA,0606 - MOCA,06862 - POLITECNICO PROF. MARIA ALTAGRACIA HOLGUIN MORA,06862,215
14 - NAGUA,1406 - EL FACTOR,07357 - POLITECNICO PROF. MANUEL SALOME TAVERAS DUARTE,07357,220
15 - SANTO DOMINGO,1501 - LOS ALCARRIZOS,09283 - INTEGRAL HERMANAS MIRABAL,09283,220
07 - SAN FRANCISCO DE MACORIS,0704 - VILLA RIVA,06646 - POLITECNICO JUAN PABLO DUARTE,06646,221
18 - BAORUCO,1804 - JIMANI,06871 - POLITECNICO PROF. MAXIMO PEREZ FLORIAN,06871,221
11 - PUERTO PLATA,1105 - ALTAMIRA,07609 - POLITECNICO RUBEN DARIO,07609,223
18 - BAORUCO,1803 - VILLA JARAGUA,14158 - POLITECNICO MARIE POUSSEPIN - FE Y ALEGRIA,14158,223
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,11150 - POLITECNICO HERMANA JOSEFINA SERRANO,11150,224
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07064 - POLITECNICO EVANGELICO SHALOM,07064,225
14 - NAGUA,1405 - SANCHEZ,07809 - POLITECNICO FRANCISCO DEL ROSARIO SANCHEZ,07809,225
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,14313 - POLITECNICO PROF. YSABEL ROSALBA TORREZ RODRIGUEZ,14313,227
06 - LA VEGA,0607 - GASPAR HERNANDEZ,15228 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,15228,228
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,14410 - POLITECNICO PROF. MIGUEL INFANTE SANTANA,14410,231
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,15444 - POLITECNICO YORYI MOREL,15444,232
10 - SANTO DOMINGO,1003 - SANTO DOMINGO NORESTE,15705 - POLITECNICO JUAN DE LOS SANTOS,15705,232
10 - SANTO DOMINGO,1006 - MENDOZA,05583 - POLITECNICO SAN JOSE DE LOS FRAILES,05583,232
15 - SANTO DOMINGO,1502 - SANTO DOMINGO CENTRO,06309 - POLITECNICO HERMANA ROSARIO TORRES FE Y ALEGRIA,06309,233
17 - MONTE PLATA,1701 - YAMASA,13387 - POLITECNICO JOSE REYES,13387,233
17 - MONTE PLATA,1702 - MONTE PLATA,13164 - POLITECNICO JULIO ABREU CUELLO,13164,241
12 - HIGUEY,1201 - HIGUEY,14676 - POLITECNICO PROF. SANTA MARIANA OLEA DE CASTRO,14676,244
04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA,07979 - POLITECNICO PADRE ZEGRI,07979,245
08 - SANTIAGO,0806 - SANTIAGO NORESTE,11918 - POLITECNICO MARTINA MERCEDES ZOUAIN,11918,246
15 - SANTO DOMINGO,1502 - SANTO DOMINGO CENTRO,06313 - POLITECNICO MANUEL AURELIO TAVAREZ JUSTO (MANOLO),06313,246
16 - COTUI,1602 - FANTINO,08424 - POLITECNICO PADRE FANTINO,08424,248
10 - SANTO DOMINGO,1004 - SANTO DOMINGO ORIENTAL,09605 - POLITECNICO JOSE MARIA VELAZ FE Y ALEGRIA,09605,249
05 - SAN PEDRO DE MACORIS,0511 - VILLA HERMOSA,14685 - POLITECNICO PROF. MERCEDES MARIA LAZALA MEJIA,14685,250
15 - SANTO DOMINGO,1504 - SANTO DOMINGO NOROESTE,14224 - POLITECNICO HERMANAS MIRABAL,14224,250
01 - BARAHONA,0101 - PEDERNALES,07430 - POLITECNICO LUIS MEDRANO GONZALEZ,07430,251
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,14601 - POLITECNICO PROF. JOSE MERCEDES ALVINO,14601,252
04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA,07932 - POLITECNICO PROF. MELIDA ALTAGRACIA BAEZ,07932,254
15 - SANTO DOMINGO,1505 - HERRERA,05762 - POLITECNICO LAS AMERICAS,05762,254
18 - BAORUCO,1805 - DUVERGE,06878 - POLITECNICO ENRIQUILLO,06878,259
16 - COTUI,1604 - BONAO SUROESTE,14697 - PROF. RUTH ELVIRA AYBAR DE POLANCO,14697,260
